month,all_views,home_views,docs_views,non_docs_views,active_users,server_page_view,partial,note
2025-01,642659,53912,0,642659,110491,0,false,"docs at root (not /docs)"
2025-02,604377,52718,0,604377,96753,0,false,"docs at root (not /docs)"
2025-03,682239,57917,0,682239,109880,0,false,"docs at root (not /docs)"
2025-04,665851,57401,0,665851,103518,0,false,"docs at root (not /docs)"
2025-05,639476,56349,2,639474,100623,0,false,"docs at root (not /docs)"
2025-06,622307,54198,4,622303,111513,0,false,"docs at root (not /docs)"
2025-07,639134,58459,4,639130,124802,0,false,"docs at root (not /docs)"
2025-08,406972,47105,0,406972,84165,0,false,"docs at root (not /docs)"
2025-09,530731,59194,19084,511647,111390,0,false,"docs at root (not /docs)"
2025-10,521391,57398,367229,154162,133075,0,false,""
2025-11,538355,75499,341762,196593,183025,0,false,""
2025-12,425089,59767,298518,126571,116247,0,false,""
2026-01,502735,49193,403073,99662,95965,0,false,""
2026-02,544268,49020,448565,95703,259793,2613475,false,"AU incl. server MP"
2026-03,388465,49556,281899,106566,169813,3341956,false,"AU incl. server MP"
2026-04,296525,36428,216101,80424,90842,5471799,false,"AU incl. server MP"
2026-05,94774,9388,71525,23249,19641,5119810,false,"AU incl. server MP; client views CONSENT-GATED"
2026-06,51667,5339,37757,13910,10773,3228509,true,"AU incl. server MP; client views CONSENT-GATED; partial month"
